metadata field,Child Doc Octiv ID,parent begdoc id,Parent Doc Octiv ID
parent_begdoc,2718992,CTRL00018995,2718993
parent_begdoc,2718994,CTRL00018995,2718993
parent_begdoc,2718995,CTRL00018995,2718993
parent_begdoc,2718996,CTRL00018995,2718993
parent_begdoc,2718997,CTRL00018995,2718993
parent_begdoc,2718985,CTRL00018772,2718984
parent_begdoc,2718986,CTRL00018772,2718984
parent_begdoc,2718987,CTRL00018772,2718984
parent_begdoc,2718988,CTRL00018772,2718984
parent_begdoc,2718989,CTRL00018772,2718984
parent_begdoc,2718990,CTRL00018772,2718984
parent_begdoc,2718978,CTRL00019063,2718979
parent_begdoc,2718981,CTRL00019063,2718979
parent_begdoc,2718982,CTRL00019063,2718979
parent_begdoc,2718983,CTRL00019063,2718979
